CLI Command, Code, UT, IT, Documentation, Recipe
project init, Y, Y ,NA , Y, Y
project list-topics, Y,Y,NA ,Y,Y
project list-compute-pools, Y, , ,Y,N
project clear-logs, Y,, ,Y,N
project update-makefiles, N, , , N, N
table init, Y, , , Y, Y
table build-inventory, Y, , ,Y,N 
table search-source-dependencies, Y, , ,Y,N 
table migrate, Y, , ,Y,Y
table update-makefile, Y, , ,Y,N 
table find-table-users, Y, , ,Y,N 
table validate-table-names, Y, , ,Y,N 
table update-tables, Y, , ,Y,N 
table unit-test, N, , ,Y,N 
pipeline build-metadata, Y, , ,Y,N  
pipeline delete-all-metadata, Y, , ,Y,N  
pipeline build-all-metadata, Y, , ,Y,N 
pipeline report, Y, , ,Y,N  
pipeline deploy, Y, , ,Y,N  
pipeline report-running-dmls, Y, , ,Y,N  
pipeline undeploy, Y, , ,Y,N  
pipeline build-execution-plan-from-table, Y, , ,Y,N 